Artikel plieger,Omschrijving,min,max,aantal
1260250,Flamco Flopress inlaatcombinatie 15mm knel 8 bar 27181,2,5,2
7510624,IMI Heimeier handregelknop v. thermostaatkraan M30x1.5 200100325,5,10,5
"1602221,IMI Heimeier V-exact II thermostatisch radiatorventiel instelbaar dubbel haaks links 1/2"" 371302000,5,10,7"
"603287,Hansgrohe Isiflex doucheslang 1/2""x200cm chroom 28274000,0,0,2"
2302748,Easy Drain waterslot multi/fixt 50mm SERWS50,0,0,2
8303547,Honeywell antenne module HRA80,1,1,1
"1602236,IMI Heimeier Vekotec H-onderblok haaks v. radiatoren 1/2""bi-3/4""euro 055150000,5,10,6"
"1602225,IMI Heimeier V-exact II thermostatisch radiatorventiel instelbaar dubbel haaks rechts 1/2"" 371402000,5,10,5"
2301121,Easy Drain Multi sifonhuis m. onderuitlaat 50mm EDMSI3,0,0,2
"7501498,IMI Heimeier RTL retourwatertemperatuurregelaar DN 15 recht 1/2"" bixbu 917402800,1,1,1"
"1602234,IMI Heimeier Vekotec H-onderblok recht v. radiatoren 1/2""bi-3/4""euro 055050000,5,10,6"
2130114,Wavin HWA bocht 45° mof/spie 80mm grijs 4011108004,10,20,22
2130769,Wavin HWA x riool verloopstuk 80x75mm grijs 4014108970,6,12,10
2130823,Wavin HWA verbindingsmof 80mm mof+vernauwende spie grijs 4010308000,6,12,12
2151626,Wavin ABS stadsuitloop 80/70mm grijs 4017508072,1,2,3
2130009,Wavin HWA sifon mof/spie grijs 80mm 4019208080,2,4,4
2130882,Wavin HWA vergaarbak m. tuit 80mm grijs 4017308000,1,3,3
2130173,Wavin HWA bocht 87° mof/spie 80mm grijs 4011108009,12,24,16
2130254,Wavin HWA T-stuk 45° 2xmof vernauwende spie 80mm grijs 4012308004,5,10,12
2130319,Wavin HWA T-stuk 87° 2xmof vernauwende spie 80mm grijs 4012308009,6,12,13
2130165,Wavin HWA bocht 87° mof/spie 70mm grijs 4011107009,5,10,3
2130106,Wavin HWA bocht 45° mof/spie 70mm grijs 4011107004,5,10,3
2101368,Wavin HWA bocht 22.5° mof/spie 80mm grijs 4011108002,4,8,1
2130289,Wavin HWA inzetverloopring 100x110mm grijs 4014011101,3,6,2
2130238,Wavin HWA inzetverloopring 80x110mm grijs 4014011081,3,6,3
2130610,Wavin HWA verbindingsmof 80mm mof+vernauwende spie wit 4040308000,3,6,3
2130556,Wavin HWA bocht 87° mof/vernauwende spie 80mm wit 4041308009,3,6,6
2130521,Wavin HWA bocht 45° mof/vernauwende spie 80mm wit 4041308004,2,4,6
2130572,Wavin HWA T-stuk 45° 2xmof vernauwende spie 80mm wit 4042308004,2,4,4
2151022,Wavin PVC stadsuitloop 80/70mm wit 4047508070,1,1,1
2130181,Wavin HWA bocht 87° mof/spie 100mm grijs 4011110009,3,6,7
2130122,Wavin HWA bocht 45° mof/spie 100mm grijs 4011110004,3,6,1
2130262,Wavin HWA T-stuk 45° 2xmof vernauwende spie 100mm grijs 4012310004,1,1,1
2130831,Wavin HWA verbindingsmof 100mm mof+vernauwende spie grijs 4010310000,3,6,1
2100019,Wavin HWA inzetverloopring 100x80mm grijs 4014010080,1,1,1
2110113,Wavin PVC manchet bocht 45° mof/spie 125mm SN4 1111112004,3,6,8
2110075,Wavin PVC manchet bocht 45° mof/mof 125mm SN4 1111212004,3,6,9
2110555,Wavin PVC manchet overschuifmof 125mm SN4 1110112000,2,4,6
2110512,Wavin PVC manchet steekmof 125mm SN4 1110012000,3,6,8
2110180,Wavin PVC manchet bocht 90° mof/spie 125mm SN4 1111112009,2,4,4
2110148,Wavin PVC manchet bocht 90° mof/mof 125mm SN4 1111212009,2,4,0
2101157,Wavin PVC lijm einddop m. schroefdeksel in hulpstuk 125mm 3105112001,1,2,3
2430437,Feyts zinken HWA bocht 80mm 40° verjongd spie eind 0211202084,4,10,9
2430438,Feyts zinken HWA bocht 80mm 72° verjongd spie eind 0211202087,4,10,6
2420565,Feyts zinken overschuifwrong 80mm 0211415080,4,10,11
2420174,Rheinzink WB scharnierpijpbeugel m. moer M10, massief Rheinzink m. RVS schroefoog Ø80mm z. pen 2840001050,4,10,21
2100282,Wavin PVC lijm bocht 45° mof/mof 125mm 3101212004,5,10,6
2100371,Wavin PVC lijm bocht 90° mof/mof 125mm 3101212009,5,10,7
2101041,Wavin PVC lijm dubbele mof 125mm 3100012000,5,10,7
2100312,Wavin PVC lijm bocht 45° mof/spie 125mm 3101112004,5,10,11
2100428,Wavin PVC lijm bocht 90° mof/spie 125mm 3101112009,5,10,4
2100754,Wavin PVC lijm T-stuk 45° 3xmof 125x125mm 3102212004,5,10,5
2101726,Wavin PVC kap spie-eind GR125 3105112000,5,10,5
2100711,Wavin PVC lijm T-stuk 45° 3xmof 125x50mm 3102212054,5,10,3
2100738,Wavin PVC lijm T-stuk 45° 3xmof 125x75mm 3102212074,5,10,4
2100746,Wavin PVC lijm T-stuk 45° 3xmof 125x110mm 3102212114,5,10,3
2101440,Wavin PE speciedeksel 125mm 3105412000,5,10,8
2101793,Wavin PVC kap spie-eind GR160 3105116000,2,3,3
2110547,Wavin PVC manchet overschuifmof 110mm SN8 1110111000,3,6,6
2110504,Wavin PVC manchet steekmof 110mm SN8 1110011000,3,6,6
2100185,Wavin PVC lijm bocht 15° mof/mof 110mm 3101211001,3,6,5
2101254,Wavin PVC lijm bocht 22° mof/spie 110mm 3101111002,3,6,6
2101297,Wavin PVC lijm bocht 30° mof/mof 110mm 3101211003,3,6,5
2100007,Wavin PVC lijm T-stuk 45° 2xmof+1xspie 125x110mm 3102112114,1,2,1
2100487,Wavin PVC lijm verloopring excentrisch 110x50mm 3104211050,8,16,30
2100495,Wavin PVC lijm verloopring excentrisch 110x75mm 3104211070,8,16,22
2100509,Wavin PVC lijm verloopring excentrisch 125x110mm 3104212110,5,10,19
2101327,Wavin PVC lijm T-stuk 88° 2xmof+1xspie 110x110mm 3102511009,1,2,2
2100894,Wavin PVC lijm T-stuk 88° 3xmof 110x110mm 3102611009,2,4,4
2110067,Wavin PVC manchet bocht 45° mof/mof 110mm SN8 1111211004,1,3,2
2110105,Wavin PVC manchet bocht 45° mof/spie 110mm SN8 1111111004,1,3,3
2110059,Wavin PVC manchet bocht 30° mof/mof 110mm SN8 1111211003,1,3,3
2100051,Wavin PVC manchet bocht 30° mof/spie 110mm SN8 1111111003,1,3,3
2110016,Wavin PVC manchet bocht 15° mof/mof 110mm SN8 1111211001,1,3,2
2110048,Wavin PVC manchet bocht 15° mof/spie 110mm SN8 1111111001,1,3,4
2110121,Wavin PVC manchet bocht 90° mof/mof 110mm SN8 1111211009,2,4,4
2110172,Wavin PVC manchet bocht 90° mof/spie 110mm SN8 1111111009,2,4,4
2101432,Wavin PE speciedeksel 110mm 3105411000,8,16,16
2101718,Wavin PVC kap spie-eind GR110xDRAIN125 3105111000,5,10,11
2101033,Wavin PVC lijm dubbele mof 110mm 3100011000,12,24,23
2100274,Wavin PVC lijm bocht 45° mof/mof 110mm 3101211004,12,24,20
2100363,Wavin PVC lijm bocht 90° mof/mof 110mm 3101211009,8,16,14
2100304,Wavin PVC lijm bocht 45° mof/spie 110mm 3101111004,12,24,17
2100401,Wavin PVC lijm bocht 90° mof/spie 110mm 3101111009,8,16,9
2100673,Wavin PVC lijm T-stuk 45° 3xmof 110x75mm 3102211074,4,8,5
2100681,Wavin PVC lijm T-stuk 45° 3xmof 110x110mm 3102211004,4,8,6
2100665,Wavin PVC lijm T-stuk 45° 3xmof 110x50mm 3102211054,4,8,6
2101025,Wavin PVC lijm dubbele mof 75mm 3100007000,15,30,25
2100266,Wavin PVC lijm bocht 45° mof/mof 75mm 3101207004,16,32,20
2100355,Wavin PVC lijm bocht 90° mof/mof 75mm 3101207009,12,24,21
2100649,Wavin PVC lijm T-stuk 45° 3xmof 75x75mm 3102207004,7,14,16
2101831,Wavin PVC lijm bocht 45° mof/spie 75mm 3101107004,16,32,29
2101890,Wavin PVC lijm bocht 90° mof/spie 75mm 3101107009,12,24,36
2100630,Wavin PVC lijm T-stuk 45° 3xmof 75x50mm 3102207054,9,18,19
2100622,Wavin PVC lijm T-stuk 45° 3xmof 75x40mm 3102207044,4,8,4
2100843,Wavin PVC lijm T-stuk 88° 3xmof 75x75mm 3102207009,4,8,5
2101552,Wavin PVC overschuifmof 75mm 3100107000,6,12,7
702054,Airfit PP riolerings overgangsstuk 110x75mm 11075IR,2,6,2
702049,Airfit PP riolerings overgangsstuk 75x50mm 7550IR,2,6,2
2101149,Wavin PVC lijm einddop m. schroefdeksel in hulpstuk 110mm 3105111001,3,6,4
2101696,Wavin PVC kap spie-eind GR75 3105107000,15,30,38
2101424,Wavin PE speciedeksel 75mm 3105407000,8,16,2
"3017453,Bonfix Knelfitting messing knel muurplaat messing bi.dr. 12mmx1/2""bi kiwa 52569,4,10,10"
"3010702,Bonfix Knelfitting messing knel knie messing bi.dr. 1/2""bix15mm conisch - gastec / kiwa 82591,4,10,10"
"1500678,BPE beluchterkraan verchroomd z. wartel 1/2""bu m. knop zwart, kiwa 70550,5,10,2"
8910472,Bonfix Knelfitting messing knelkoppeling messing 12x12mm gastec / kiwa 82537,4,10,11
8910448,Bonfix Knelfitting messing knel knie messing 12x12mm gastec / kiwa 82526,4,10,12
8910421,Bonfix Knelfitting messing knel T-stuk messing 12x12x12mm gastec / kiwa 82452,4,10,13
"3010700,Bonfix Knelfitting messing knel knie messing bi.dr. 3/8""bix15mm conisch - gastec / kiwa 82605,4,10,14"
8910642,Bonfix Knelfitting messing knel verloopset messing 15x12mm 82715,4,10,10
3010642,Bonfix Knelfitting messing knel eindstop messing 12mm gastec / kiwa 82494,4,10,9
3010584,Bonfix Knelfitting messing knelkoppeling messing verlopend 15x12mm gastec / kiwa 82472,4,10,9
3010566,Bonfix Knelfitting messing knelkoppeling messing 15x15mm gastec / kiwa 82530,4,10,11
8910065,Bonfix Knelfitting messing knel knie messing 15x15mm gastec / kiwa 82520,4,10,2
8910006,Bonfix Knelfitting messing knel T-stuk messing 15x15x15mm gastec / kiwa 82501,4,10,5
